driver,stint,compound,tire_age,lap_number,lap_time_seconds,fuel_corrected_pace,baseline_pace,delta_pace,year,circuit
ALO,1.0,SOFT,4.0,1.0,105.174,105.174,100.1,5.074000000000012,2022,Bahrain Grand Prix
ALO,1.0,SOFT,5.0,2.0,100.412,100.349,100.1,0.24900000000000944,2022,Bahrain Grand Prix
ALO,1.0,SOFT,6.0,3.0,100.226,100.1,100.1,0.0,2022,Bahrain Grand Prix
ALO,1.0,SOFT,7.0,4.0,100.097,99.908,100.1,-0.19199999999999307,2022,Bahrain Grand Prix
ALO,1.0,SOFT,8.0,5.0,100.465,100.21300000000001,100.1,0.11300000000001376,2022,Bahrain Grand Prix
ALO,1.0,SOFT,9.0,6.0,100.658,100.343,100.1,0.2430000000000092,2022,Bahrain Grand Prix
ALO,1.0,SOFT,10.0,7.0,100.823,100.445,100.1,0.34499999999999886,2022,Bahrain Grand Prix
ALO,1.0,SOFT,11.0,8.0,102.371,101.92999999999999,100.1,1.8299999999999983,2022,Bahrain Grand Prix
ALO,1.0,SOFT,12.0,9.0,101.448,100.94399999999999,100.1,0.8439999999999941,2022,Bahrain Grand Prix
ALO,1.0,SOFT,13.0,10.0,101.873,101.30600000000001,100.1,1.2060000000000173,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,2.0,13.0,99.05,98.294,98.426,-0.132000000000005,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,3.0,14.0,99.704,98.88499999999999,98.426,0.458999999999989,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,4.0,15.0,100.256,99.374,98.426,0.9479999999999933,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,5.0,16.0,100.572,99.62700000000001,98.426,1.2010000000000076,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,6.0,17.0,99.434,98.426,98.426,0.0,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,7.0,18.0,99.809,98.738,98.426,0.3119999999999976,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,8.0,19.0,99.785,98.651,98.426,0.22499999999999432,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,9.0,20.0,99.874,98.67699999999999,98.426,0.25099999999999056,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,10.0,21.0,100.087,98.827,98.426,0.40099999999999625,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,11.0,22.0,100.504,99.18100000000001,98.426,0.7550000000000097,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,12.0,23.0,99.922,98.536,98.426,0.10999999999999943,2022,Bahrain Grand Prix
ALO,2.0,MEDIUM,13.0,24.0,100.496,99.047,98.426,0.6209999999999951,2022,Bahrain Grand Prix
ALO,3.0,HARD,2.0,27.0,97.995,96.357,96.799,-0.4420000000000073,2022,Bahrain Grand Prix
ALO,3.0,HARD,3.0,28.0,98.908,97.20700000000001,96.799,0.40800000000000125,2022,Bahrain Grand Prix
ALO,3.0,HARD,4.0,29.0,98.68,96.91600000000001,96.799,0.11700000000000443,2022,Bahrain Grand Prix
ALO,3.0,HARD,5.0,30.0,98.626,96.799,96.799,0.0,2022,Bahrain Grand Prix
ALO,3.0,HARD,6.0,31.0,98.958,97.068,96.799,0.26899999999999125,2022,Bahrain Grand Prix
ALO,3.0,HARD,7.0,32.0,99.153,97.2,96.799,0.40099999999999625,2022,Bahrain Grand Prix
ALO,3.0,HARD,8.0,33.0,99.686,97.67,96.799,0.8709999999999951,2022,Bahrain Grand Prix
ALO,3.0,HARD,9.0,34.0,99.208,97.129,96.799,0.3299999999999983,2022,Bahrain Grand Prix
ALO,3.0,HARD,10.0,35.0,99.214,97.072,96.799,0.27299999999999613,2022,Bahrain Grand Prix
ALO,3.0,HARD,11.0,36.0,99.389,97.184,96.799,0.3849999999999909,2022,Bahrain Grand Prix
ALO,3.0,HARD,12.0,37.0,99.426,97.158,96.799,0.35899999999999466,2022,Bahrain Grand Prix
ALO,3.0,HARD,13.0,38.0,100.034,97.703,96.799,0.9039999999999964,2022,Bahrain Grand Prix
ALO,3.0,HARD,14.0,39.0,100.009,97.615,96.799,0.8159999999999883,2022,Bahrain Grand Prix
ALO,3.0,HARD,15.0,40.0,100.295,97.83800000000001,96.799,1.0390000000000015,2022,Bahrain Grand Prix
ALO,3.0,HARD,16.0,41.0,99.854,97.334,96.799,0.5349999999999966,2022,Bahrain Grand Prix
ALO,4.0,SOFT,2.0,44.0,96.733,94.024,94.024,0.0,2022,Bahrain Grand Prix
ALO,4.0,SOFT,9.0,51.0,99.006,95.856,94.024,1.8319999999999936,2022,Bahrain Grand Prix
ALO,4.0,SOFT,10.0,52.0,97.538,94.325,94.024,0.30100000000000193,2022,Bahrain Grand Prix
ALO,4.0,SOFT,11.0,53.0,97.396,94.12,94.024,0.09600000000000364,2022,Bahrain Grand Prix
ALO,4.0,SOFT,12.0,54.0,97.303,93.964,94.024,-0.060000000000002274,2022,Bahrain Grand Prix
ALO,4.0,SOFT,13.0,55.0,97.672,94.27,94.024,0.2459999999999951,2022,Bahrain Grand Prix
ALO,4.0,SOFT,14.0,56.0,97.642,94.17699999999999,94.024,0.1529999999999916,2022,Bahrain Grand Prix
ALO,4.0,SOFT,15.0,57.0,98.986,95.458,94.024,1.4339999999999975,2022,Bahrain Grand Prix
BOT,1.0,SOFT,4.0,1.0,109.195,109.195,100.221,8.97399999999999,2022,Bahrain Grand Prix
BOT,1.0,SOFT,5.0,2.0,100.817,100.75399999999999,100.221,0.532999999999987,2022,Bahrain Grand Prix
BOT,1.0,SOFT,6.0,3.0,100.732,100.606,100.221,0.3849999999999909,2022,Bahrain Grand Prix
