year,circuit,driver,car_ahead,pit_lap,gap_ahead,tire_age,car_ahead_tire_age,tire_age_advantage,compound,own_pace,threat_pace,pace_delta,deg_delta,ca_deg_delta,closing_rate,pit_loss,pit_loss_fraction,race_progress,undercut_success
2022,Bahrain Grand Prix,VER,LEC,14,3.472,16.0,13.0,-3.0,SOFT,98.8015,98.55950000000001,0.24199999999999022,-0.004599999999997062,0.04469999999999536,0.1961000000000002,25.145,0.2545001847137948,0.22807017543859648,0
2022,Bahrain Grand Prix,VER,LEC,30,3.68,15.0,17.0,2.0,SOFT,97.133,97.13499999999999,-0.001999999999995339,0.1700000000000035,0.17020000000000857,-0.03399999999999989,25.145,0.25887185611481167,0.5087719298245614,0
2022,Bahrain Grand Prix,GAS,MAG,14,1.576,16.0,13.0,-3.0,SOFT,100.4795,100.5775,-0.09799999999999898,0.05600000000000235,0.059899999999993146,-0.06110000000000007,25.145,0.25025005100542896,0.22807017543859648,0
2022,Bahrain Grand Prix,GAS,MAG,32,5.448,17.0,20.0,3.0,MEDIUM,97.9685,98.2815,-0.3129999999999882,0.1415000000000101,0.06440000000000111,-0.2676999999999999,25.145,0.25666413183829495,0.543859649122807,0
2022,Bahrain Grand Prix,PER,LEC,15,12.816,17.0,14.0,-3.0,SOFT,99.236,98.6195,0.616500000000002,-0.02489999999999775,0.0354999999999967,2.8513999999999937,25.145,0.25338586803176266,0.24561403508771928,0
2022,Bahrain Grand Prix,ALO,OCO,11,1.852,13.0,10.0,-3.0,SOFT,101.125,100.3595,0.765500000000003,0.24249999999999683,0.027499999999993325,-0.05869999999999977,25.145,0.24865265760197774,0.17543859649122806,1
2022,Bahrain Grand Prix,ALO,GAS,25,6.982,13.0,10.0,-3.0,MEDIUM,98.937,97.8715,1.0655000000000001,0.04489999999999466,0.0054999999999971,1.0255999999999992,25.145,0.2541516318465286,0.42105263157894735,0
2022,Bahrain Grand Prix,STR,ALO,18,1.659,17.0,6.0,-11.0,SOFT,100.993,99.374,1.6189999999999998,-0.09751428571428457,0.10980000000000224,-2.3469999999999915,25.145,0.24897765191646948,0.2982456140350877,0
2022,Bahrain Grand Prix,MAG,RUS,14,7.178,13.0,16.0,3.0,SOFT,100.5775,99.6805,0.8970000000000056,0.059899999999993146,-0.007099999999997656,0.9166000000000019,25.145,0.25000621411349455,0.22807017543859648,0
2022,Bahrain Grand Prix,TSU,RUS,15,16.948,14.0,17.0,3.0,SOFT,100.581,99.692,0.88900000000001,-0.03820000000000997,-0.013700000000002256,3.6601999999999926,25.145,0.24999751444109722,0.24561403508771928,0
